Country Name,Series Name,Time,Value
Austria,Gross fixed capital formation (% of GDP),1980,27.29968007
Austria,Gross fixed capital formation (% of GDP),1981,27.2090247
Austria,Gross fixed capital formation (% of GDP),1982,24.54431944
Austria,Gross fixed capital formation (% of GDP),1983,23.67985529
Austria,Gross fixed capital formation (% of GDP),1984,23.18260307
Austria,Gross fixed capital formation (% of GDP),1985,23.8116058
Austria,Gross fixed capital formation (% of GDP),1986,23.60310904
Austria,Gross fixed capital formation (% of GDP),1987,24.1693695
Austria,Gross fixed capital formation (% of GDP),1988,24.91529518
Austria,Gross fixed capital formation (% of GDP),1989,25.17067409
Austria,Gross fixed capital formation (% of GDP),1990,25.36761759
Austria,Gross fixed capital formation (% of GDP),1991,26.44243813
Austria,Gross fixed capital formation (% of GDP),1992,26.03097159
Austria,Gross fixed capital formation (% of GDP),1993,25.51819446
Austria,Gross fixed capital formation (% of GDP),1994,26.16149054
Austria,Gross fixed capital formation (% of GDP),1995,25.29905795
Austria,Gross fixed capital formation (% of GDP),1996,25.79184454
Austria,Gross fixed capital formation (% of GDP),1997,25.41941195
Austria,Gross fixed capital formation (% of GDP),1998,25.4702182
Austria,Gross fixed capital formation (% of GDP),1999,24.95924221
Austria,Gross fixed capital formation (% of GDP),2000,25.61168088
Austria,Gross fixed capital formation (% of GDP),2001,24.79662177
Austria,Gross fixed capital formation (% of GDP),2002,23.53057015
Austria,Gross fixed capital formation (% of GDP),2003,24.10811565
Austria,Gross fixed capital formation (% of GDP),2004,23.59150835
Austria,Gross fixed capital formation (% of GDP),2005,23.05211575
Austria,Gross fixed capital formation (% of GDP),2006,22.60075583
Austria,Gross fixed capital formation (% of GDP),2007,22.91702768
Austria,Gross fixed capital formation (% of GDP),2008,23.27646562
Austria,Gross fixed capital formation (% of GDP),2009,22.41300826
Austria,Gross fixed capital formation (% of GDP),2010,21.59672377
Austria,Gross fixed capital formation (% of GDP),2011,22.47171545
Austria,Gross fixed capital formation (% of GDP),2012,22.64929279
Austria,Gross fixed capital formation (% of GDP),2013,23.04019756
Austria,Gross fixed capital formation (% of GDP),2014,22.64721871
Austria,Gross fixed capital formation (% of GDP),2015,22.52023168
Austria,Gross fixed capital formation (% of GDP),2016,23.07778398
Austria,Gross fixed capital formation (% of GDP),2017,23.51080344
Austria,GDP per capita growth (annual %),1980,1.731377625
Austria,GDP per capita growth (annual %),1981,-0.398620346
Austria,GDP per capita growth (annual %),1982,1.938121163
Austria,GDP per capita growth (annual %),1983,3.13962807
Austria,GDP per capita growth (annual %),1984,0.057573583
Austria,GDP per capita growth (annual %),1985,2.450565645
Austria,GDP per capita growth (annual %),1986,2.236401944
Austria,GDP per capita growth (annual %),1987,1.293045199
Austria,GDP per capita growth (annual %),1988,3.149746817
Austria,GDP per capita growth (annual %),1989,3.420101755
Austria,GDP per capita growth (annual %),1990,3.553547807
Austria,GDP per capita growth (annual %),1991,2.413986073
Austria,GDP per capita growth (annual %),1992,0.976092345
Austria,GDP per capita growth (annual %),1993,-0.298754085
Austria,GDP per capita growth (annual %),1994,2.008761635
Austria,GDP per capita growth (annual %),1995,2.510912828
Austria,GDP per capita growth (annual %),1996,2.211436176
Austria,GDP per capita growth (annual %),1997,1.977972998
Austria,GDP per capita growth (annual %),1998,3.46783513
Austria,GDP per capita growth (annual %),1999,3.355043657
Austria,GDP per capita growth (annual %),2000,3.127436477
Austria,GDP per capita growth (annual %),2001,0.880261369
Austria,GDP per capita growth (annual %),2002,1.152671839
Austria,GDP per capita growth (annual %),2003,0.450948907
Austria,GDP per capita growth (annual %),2004,2.099709475
Austria,GDP per capita growth (annual %),2005,1.549878794
Austria,GDP per capita growth (annual %),2006,2.943417059
Austria,GDP per capita growth (annual %),2007,3.391730702
Austria,GDP per capita growth (annual %),2008,1.143308632
Austria,GDP per capita growth (annual %),2009,-4.016342341
Austria,GDP per capita growth (annual %),2010,1.592578041
Austria,GDP per capita growth (annual %),2011,2.57644867
Austria,GDP per capita growth (annual %),2012,0.22244938
Austria,GDP per capita growth (annual %),2013,-0.562299551
Austria,GDP per capita growth (annual %),2014,0.043786683
Austria,GDP per capita growth (annual %),2015,-0.035049819
